tweet,label
  Lemmie eat a Oreo   do these dishes . One oreo ? Lol ,0
    bitch fuck u   maybe you 'll get better . Just ,1
  Fuck Red Malone man bitch ass niggah could you please use complete sentences ? ,0
  Why the eggplant emoji doe?y he say she looked like scream lmao ,0
  Hennessey Venom GT    that 's one sexy bitch ,1
  Him seh me pussy wetter then a shower curtain .... ,1
   and every   need to see that pic I just posted because that bitch just said the most racist shit ,1
"  Yo fuck skateboarding , all y' all some wood pushing faggots man , ball is life ",0
  baby monkey bathtime   This is soooo ADORABLE ,0
   I ai n't shit . Damn Skippy lol ,1
  u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b ,0
    0 rings 0 mvps 0 bitches lol ,1
"  ppl talk bad about the ghettohood ... but as a kid growing up , a nigga had funnnnnnn ",0
  The facts on tattoos ... tattoo   he 's a pussy with not tattooing them nipples ,1
   Bitches be wanting to act like niggas so bad   that shit ai nt cuteeeee but niggas act like bitches .. ,1
  Get worshiping bitch   woof woof ,1
  Wow . I 'm lost . Are those buttcheek piercings ?   yeah she 's a hoe ,0
"  Ok , sis . She 'd rather be a broke bitch ? * shrugs * she 'll have to tell me how it works for her ",1
    queer gaywad ,0
   faggot read my tweets after dat k it was n't even funny lol ,1
  This bitch was so ungrateful   fr ..... LULWHORE ,1
  I been kidnapped yo bitch ,1
   alsarabsss he s a beaner smh you can tell he s a mexican ,1
   happy birthday nigs Thanks yo ,0
  when ur teacher tells u that u have homework   this bitch need to go ,1
    that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul .. ,0
  What would y' all lil ugly bald headed bitches do if they stop making make - up   weave ? ,1
  Leafs better win this damn game so I can go riot and shit   you better start looting my nig ,0
  Going back to school sucks more dick than the hoes who attend it . ,1
  On my way to fuck yo bitch   me as a 9 year old ,1
   how come you never bring me food i do nt have a car retard ,1
  If Richnow does n't show up with hella tinder hoes I m not his friend anymore chill I brought like like 8 prople ,1
  How bout them Cowboys Shutup pussy ,0
  LMAOOOOOOOOOOO this nigga     want likes for some depressing shit .. foh ,1
   girl you know I was spitting that G shit to you   you was going lbvsbitch plz ,1
"  Let me make a couple tweets off cuzzo page , so I wo n't get in twitter jail.lmao bitch do n't trick me again ",1
  Harlem shake is just an excuse to go full retard for 30 seconds . ,0
  amen miley    but she do n't need to act like a hoe just bc she 's emotionally damaged foh ,1
"  having one loyal female is wayyyyy better than having hoes , idc ",1
  Pussy licking pussy .... meow meow    ,1
  Check out our 12th man .   even with all those faggot ny fans in the stands ,1
  What happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch ,1
   i m the bitch okay nudes pat   wow ,1
"   you 're fucking gay , blacklisted hoe Holding out for   anyway ",1
  The fuck be wrong with these bitches ? Nobody knows ,1
  Yall shut upp make me bitch ,1
  I hate a I 'm pregnant type of bitch . ,0
  Got bitches in the DM but I do n't ever read'em which is y your top 3 ,1
  Baseball season for the win .   This is where the love started ,0
  Little stupid as bitch I do n't fuck with yoooooouuuu .. ,1
"  she really asked me that dead ass serious tho , all i could say was bitch wheet LOL ",1
"  I 'm an early bird and I 'm a night owl , so I 'm wise and have worms . ",0
  Overdosing on heavy drugs does n't sound bad tonight . I do that pussy shit every day . ,0
  Pit Bulls Photographed As Lovely Fairy Tale Creatures   * are * fairy tale creatures . ,0
"   Aw . ... fag , do n't tweet aw to me lol ",1
"  As long as the Lakers trash from now on , I could careless . And that 's real .. CC   hahaha ",0
   I did n't say anything tho kiss me then faggot ,1
"  this the I play soccer , cheat on girls , and wear khaki coloured cargos haircut    yup ",0
  I could go for a fat ass bitch on my lap same ,1
  17 missed calls   yo P.O bitch twitter finna be screamn ,1
  Ya side bitch got ta know it 's rules to this shit .. anybody ask you my cousin from jersey thinkin bout moving lmmfao ,1
   3 | Amo los pies   fuck yeah ,1
  These hoes be thinking Meat wo n't slap they ass   ainna bruh ,1
  Yall bitches wit no edges be doing the most talking ,1
  Yall still going trick or treating this year or nah?hell yeah i m a be da sweet tooth bandit steal bitches bags n shit ,1
  I wanna have sex with my mom fuck her right in that pussy where I came from damn you got hacked like fuck ,1
  If she kiss u with her eyes open watch that bitch ,1
  You a woulda coulda shoulda ass hoe ,1
  Happy Bday Bitch Ass Nigga   that bitch roll up ,1
    used to send that bitch up ,1
  Ugly bitches be like I 'm my own WCW duh bitch you ai n't nobody elses ,1
"   nigga you know we hacky sack hoes . ... nah , I throw no look passes lmao ",0
  Glad I 'm getting outta Atlanta . Nothing but a bunch of niggas in   outta jail   dumb bitches with mad kids fuckin em . ,0
  This is n't ghetto ..... it 's smart   I 'm doing this idc ,0
  I would wife a hoe only cuz we would n't care that we cheating in each other . ... why force the relationship in the first place ? ,0
  Being single is n't an excuse to be a hoe . ,1
  White boy power bitch black power bitch ,0
"  Lets get drunk , get blowed , spit shit spark blunts   fuck hoes Bro white dudes have no chill . ",1
   bitch where u been Around the world and back . Where you been ? ,1
   if I do n't get my dick sucked at yo party by a bad bitch I 'm fr gone set it off   * by   * ,1
   is soooo cute . But he probably has hoes on him a lot . ,0
  In every cartoon theirs alway a   saving these hoes lmao .   lmao damn captain SaveAHoe ,1
  Who wants to get there nose in these bad bois then       hot sox and legs ,0
  I wish I was a bitch like my brother keezy   ooooow I bet you do ,1
  If you dressed up as a cat for Halloween you are basic . ... or a pussy ,1
  Can pornhub just get a gaming stream feature so these dumb bitches can gtfo   get on it Katie ,1
  stop being scared to choke her during sex u bitch ass niggas . She like it .. Says the guy who hits women out of bed . FOH ,1
   ha well iguess I make them hoes loyal bro they ll never be loyal that y they hoes my nig ,1
"   Oh man .. its 5 am , you off a molly , ho where the fuck ya seed at ? ? ",1
  You 're not a man if you refer to every girl as a bitch ,1
  Lmfao this cat started beating the shit out of me my nigga finally got some pussy ? MY NIGGA ,1
  Peel up peel up bring it back up rewind back where I 'm from they move Shaq from the line ooooow who tf said that trash ,0
   io io alu record ho vine sai pe hahahaha lol anywaaaaaays ..... haha ,0
   naw it 's my old tape . new cover . my upcoming mixtape is   Yeah I 'm waiting on that hoe Mayne ,1
  Ol dirty foot ass bitches .. this was too funny to me . ,1
   that 's where I get my yellow flags for being amazing   HELL YEAH NIGGY ,1
  Do n't got time for bitches to be actin iffy . ,1
   come on stay alive knights nation This is still the early bird special . ,0
  These hoes ai n't loyal   no they ai n't    wonder why nobody decent wants them ,0
"  Bruh , you studs keep thinking I 'm soft as hell . Ask ya girl how many times she screamed she was my bitch . Oh okay . STFU . BYE HOE ",1
  dry pussy bitches always blame it on the condom ,1
  shut yo bitch ass up   ,1
  Gucci Mane in jail and dropping mixtapes every month and you hoes ca n't even text back ,1
  You love these hoes more then money wats wrong these niggas ,1
  A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo . ... sounding like me over there lol ,1
"  Easy cum , easy hoe That 's a fact ",1
  Charlie Sheen is too real   major fucking respect for Charlie Sheen . ,1
  Wish I had a bae   got all the hoes tho ,1
  Fuck twerking bitch can you cook ? ,1
   bitch wtf ,1
"    Shut up zoe fight me pussy for zoe ? I 'm good , man . You are good ma'am . Move along now ",0
  Lmao fucking snake bitches   em ,1
  Big booty hoes everywhere sheesh   damn ,1
  Stay tuned to   for an update on the report that   1B   will be out 8 - 10 weeks   ,0
"   I play soccer , cheat on girls , and wear khaki coloured cargos haircut   yes lmfao ",0
  Oregon chokes every year get off the field trash ass program RFT ,1
"  Def not cowboy lol Terrell Owens was the best Eagle   Cowboy ever .. dude cried like a bitch on tv , over Romo ",1
  LMFAOOOO I HATE BLACK PEOPLE   This is why there 's black people and niggers ,1
    How could u do this to me bitch potent ,1
   a pissed lad past out . I would lick his dirty soles while he slept . ,0
   love frat boy w soft long soles ,0
   sexy lad with hot soles and arches . ,0
   nah fam I got ta cheat with the hoes depends on the female i feel ,1
    I got hicks lol ,0
  This new twitter is confusing the shit out of me . Go back to south america bitch ,0
  Toto means ass or vagina?I think pussy cause toto santi is like nasty pussy ,1
  but what if he actually does choose the ugly bitch over you ?   ass must be fat ,1
  bitch could n't kill my vibe if ya tried .   dis why i love miley * ,1
"  I 'm tired of bitches saying I look mean ..   nigga you big af , wear tight shirts , and grim everybody . ",1
"  10 birds your grandkids may never see , thanks to climate change    ",0
  Stay beautiful you bitch ,1
   purple . Ceeeleeeman this gurl was jus playin on the stupid hoe   track . But in still shitted on sum gurls ,1
  Money getting taller and bitches getting blurry ,1
  I ai n't never seen a bitch so obsessed with they nigga I 'm obsessed with mine ,0
  Kobe stay talking trash . But let 's not forget    I meant to do this one . Smh . ,0
  At least I 'm not a nigger ,0
  People always asking me what I 'm mixed with . She a bad asian bitch lol ,1
   Ariza is a snake and a coward but at least he is n't a cripple like your hero Roach lmaoo ,0
   Fosters home for imaginary trash WHOA CHILLthat show was everything tf ,0
"  I am lowkey tired . ... if you tired , be quiet and go to sleep hoe ",1
   Stop bringing weird niggers into my mentions   ,1
  We do n't love these hoes ,1
  If yo girl ca nt have homeboys you a ol weak bitch ass nigga ,1
   I think worst advice I gave you was   do n't be a pussy and speed up lol ,1
  Quote this tweet with your favorite animal.pussy ,1
"  I hate when strippers tell you they 're dancers . Hoe , ballet dancers do n't pop their pussy to Beethoven . You a STRIPPER ",1
  Andrewbryant Poff has double vision after 2 beersPoff ... Double pussy   smh ,1
  When bitches TWERK on the computer .... ME In ya   in ya damn ,1
"     Prince , THIS is art .   nobody takin his bitch ",1
  61 % of welfaregovernment aid is claimed by white people . So y' all black slander is trash now . ,0
  These bitches do n't care they just play that role . ,1
"  It took a while for you to find me , but I was hiding In the lime tree . dis bitch in da wrong tree bro . ",1
"  Drakes new shoes that will be released by NikeJordan .... Yes , there 's glitter on the shoes   .... dudes a fag ",1
   inna di ghetto You alone lmaoo ,0
     hoes Austin teach us Austin . I teach u how to get curved ? That 's all I know ,0
  bitches ca n't cook but know how to suck dick .. so to the ones that can do both ,0
  Fat hoes get chose lol ,1
"   well they 're hoes , no one expects them to be loyal ",1
    ol bitch ass ,1
  Bruh i m tired of niggas retweetin Miley Cyrus naked that bitch ai nt no types of bad lmaooo ,0
  Just because tony romo at the mavs game do nt mean he still not a bitch lmao .. Fuk them cowgirls lol bitch fuck you ,1
"   Holy shit , Freddie Highmore was in Charlie and the Chocolate FactoryMe * rolls on the floor , laughing * ",1
  I do n't want to have sex with my gf because I feel like I 'm using her .. - anonymous Whata faggot ,0
"   One of your followers with this     somebody , bitch if you do n't ",1
  If ya bitch always bitching clearly she care Or just an annoying Bitch ,1
  These catfish hoes thinkin they slick .. But niggas catching on ,1
  Ca n't worry about a bitch that ai n't worried bout me ,1
  Side hoes are for insecure niggas that ca n't handle a real one . ,1
    Lmao This bitch come scooting in the tent like she about to fuck some shit up ,1
  My cousin said he share hoes with his brothers . He said sharing is caring and he love his brothers ,1
  i 'm hungry but ionn wanna spend my money on food hoe problems ,1
  Dese hoes be LYIN to all of us nigga ,1
   oh yeah fuck that bitch ,1
  Eli Manning just threw his NFL - leading 27th interception of the season . Lmao trash ,0
  USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team .    he 's a bitch ,0
  Guess what ? I also have zero time for your mansplaining Adios Stfu pussy ,1
  Chilling    sexy scally lad ,0
  I ai n't sharing no bitch if you mines you mines ,1
  money only impress the simple broke bitches ,1
"   will never be anybody 's bitch , they do n't let people control or change them . Rigghhht ",0
    tuku ho idk blah blah blah ,0
    I 'm not mad cuh hahaha suure .. tuku ho ita ,0
  These hoes is crazy ,1
  You ai n't ever gon na be a slice bitch . Kevin hart . ( ,1
"  Oomf so fuckin fine tho   dam   her , do n't be no bitch . ",1
  I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags ,0
"   bitch , yeah bitch , call me _ _ _ _ _ _ _ a . ) Maybeb . ) Steve - Oc . ) Laterd . ) Jesse Pinkman ",1
  Hickies in between her thighs right by her pussy   Its only right ,1
  Would you still love me when I 'm no longer young and beautiful ? No . Ugly monkey ass . ,1
    y' all come through the front.bitch I ai n't coming ,0
   faggot bitch ,0
"   yea , I 'm on my iPad . I do n't work this Friday . Let 's ball this faggot up   work 2 - 5 ",1
   this scally lad would get it ,0
    Halloween was yesterday stupid nigger ,0
"  Chrus still supahot tho * walks up to teacher with test , drops test in that bitch fohead * ",0
   I love eating pussy lol I never get full lol I can eat that shit forever lol and ever . ,1
     No slushes   nasty anyway fam hoes taste like meds ,1
   No slushes   nasty anyway fam ,0
  BOBBY BITCH - by   be getting me live as fuck hell yea i play that hoe before my workout ,0
  Yo bitch is Gucci Mane   My bitch a stoner   ,1
  I can ride your bitch with no handle bars ,1
  And if you ai n't a hoe get up out my traphoussseeeee ,1
  15 sad TV character deaths we 're still bitter over ...    stark was the man ,0
  These harbor bitches are all Party Bus hoes Lol all ? ,1
   pussy love it ,1
"  Ultraviolence video , its coming you little bitch   Lana Del Rey   bitchy promo ",1
  On my way to fuck your bitch   KITTYCOPTER ,1
  A smuggler explains how he helped fighters along the Jihadi Highway ,0
   Aww their avis look so cute together     do I got ta get Ike avi on this bitch ? ,1
"   Its simple , do nt be a hoe = dont worry about being exposed   fight mewhy ? ",1
  why s this bitch boosting herself   size is n't exactly the most healthy tho ,1
   bet not be no bitches    Kim bye ,1
  Damn near got ta protect my tweets .. stalkers being annoying you got that dope dick . Drive these bitches loco ,1
  I 'm making marack my girlfriend .   aye b you pullin hoes just like o taught you ,1
  Bruno fag boy you love me . ,0
   I must be a bitch you are   sike naw This why we always beefing ,1
"  Down 6 - 1 ,   look to rally in the bottom of the 9th . ",0
   Do n't take advantage of a nice person hoes everyjuan ,1
  Happy birthday bitch nigga   Thanks pal ,0
  Sad knowing that most hoes wo n't fuck with you bc you ai n't got stacks . wait till friday ,1
   cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca ,1
   ewww I said THAT last Sunday .. as in the last Sunday I was there . Read it again nigs ,1
  I only punch real niggas in the face cause a pussy Nigga is gon na punch me right back Strong Mush or Shake .. ,1
  My pussy still fresh   something stank girls say . ,1
  Ass slapping is one the greatest things . Haha .   I slapped a girl on the ass . . She got mad I ai nt get pussy for a week ,1
    yeah Texans are so much better you fucking retard I see that you 're mad about this . ,1
  Nd wtf is up with dark bitches with blonde .. PLEASE HAVE SEVERAL SEATS HOE .. looking like black out here ,0
  There 's a lane some bitches need to stay in   the left n get right the fuck outta our face ,1
  I hate when boys deny that they have bitches   smh ,1
  Ya nigs out there still saying y' all do n't eat butt ? WITH A STRAIGHT FACE ,0
  I m a boss ass bitch ... that needs to sit in a corner ,1
"  He 's a hoe , I ca n't ",1
  Me And Paul Thinkin Bout Gettin Rentals For Da Weekend   shit bitches betta stay out da streets ,1
  bitches hold they nigga down when he get locked up ... but if a nigga go to college or the military it 's a different story . ,1
  why do my friends hate me because you a ratchet hoe .. ,0
  No love for these fuck niggas hoes * ,0
  Hot meat   sexy as fuck scally lad . I would love to meet him and his trainers . ,1
  Sniff   perved up scally lad . fuck yeah . ,1
  These bitches love Sosa ,1
   I legit watched it for about 30 or 40 seconds   DID I WTF prob cause were retarded smh ,1
"  What should I name my cat , ideas ? Mr pussy ",1
   woof woof . Sexy thug boy scally . ,0
   u see the damn phone ringing ?   when you married bitches makes demands You have n't called me ,1
  Tevin is my favorite sophomore I think he 's so funny He s really not . Lmaoo he s a little hoe ,1
  10 sex positions    this what u call fucking the soul outta bitch ,1
"   is bored supposed to be cute , you faggot ? Sometimes ",0
  One mans trash   is another mans treasure ,0
  I do n't got no type . Bad bitches is the only thing I like * Iongotnotype ,1
"   lassen cc , the coach wants me i feel it you ll get more my nig no doubt ",0
"  god teeth , gold chainwhite bitches , cocaine ",1
"  Its me hoe , its me hoe shhhhh ",0
"  In D.C. , we call them rollers , in Chiraq we call them thots . All across America they have been known as a hoe . ",1
  I 'm gon na miss that bitch of a bus driver ... no you wo n't . Do n't lie ,1
  hate when bitches try and put you in the friendzone . bitch I 'm tryin to score put me in the endzone   ON . MY . SOUL ,1
  Ashley Young has tried to deny that bird s * * * landed in his mouth ---    hahaha ,0
   y all both gimped up ? ? Ai n't tht a bitch huh lol ,1
   Take me for a ride    woof woof ,0
  oh my god I love Victoria Mitchell all my bitches love me ,0
  That long distance shit wack I knew the bitch was cheating- uh oh ,1
  HE 'S DOING IT RIGHT    no bitches smh ,1
  they BAN dat pussy for life   he got ta pay 2.5 millon dollar fine ,1
"  Roses are red and violets are blue and niggers are black , you know that 's true . ",0
"  Sitting on my window sill , window open , bird tries to fly in . Smacked it .   ",0
"  But a nigga gon be a nigga , be a nigga . You sound fuckin retarded ",1
  a video an entire media will likely mock .   i am such a crybaby ,0
    I 'm not even shy stfu kikis mom Hi angelique Angelique Smiles * Dips cracker in soup * ,1
  Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville . Smh . ,1
  Karma is a bitch     tea * ,1
  Fuckin hot gym pussy   fuck yeah ,1
  Jihadi patron Hajjaj al - Ajmi is arrested at Kuwait airport ,0
  You can call me Fireman cause I turn the hoes on . ,0
  I could never have a bby by a lil dick Thts y I got a abortion by the last bitch- oh My God ,1
  Watch women try to argue with me like they have a dick and actually fucked some pussy before I hate when bitches do that ,1
"  And smoke weed in public , fuck cops man , do what you wanna do , they do n't own you , run if they come are you retarded ? ",1
  tweety bird tho ,0
  my pussy sweet like watermelon ,1
  When twitter rappers dm me their trash links ,0
  loud bitches annoy me ,1
  Eventually every bitch turns into that hoe .   Truuu ,1
    I swear if oomf try talking to me tomorrow ..    pussy ,1
  You bitches be pretending to be TF crazy .. You ai n't never lied ... ,1
   k bye hoe um bye .. ,1
  Jackies a retard   At least I can make a grilled cheese ,0
  i m a keep on giving these pussy ass niggas ah reason to hate ,0
  Photo   he is in sole heaven ,0
  Stacey Dash won    baddest bitch evaaaa ,0
  Side bitch Sunday   ,1
  Facts what baldheaded bitch made this shit .    ,1
  Fuck wit us and then we tweakin hoe shmurda ,1
  We actin like it 's the 7th day   ,0
  I 'll break that lil bitch neck and wo n't even feel sorry about it Savage ,1
  This is so fucking hot        love me some kinky scallies ,1
"  Y'all dumb ass niggas be so pressed to have hoes . Y'all weak as fuck as fuck ... weed over hoes , oreos too . ",0
  I can turn yo bitch into a eaterrrrrrrrr ,1
  I do n't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP we finna come to Chiraq and shoot sumn ,1
   Aye y all i m a tryout for the bowling team frfr tryouts passed tho no there s two more retard ,1
  Now u got what u want bitch   Enjoy it   now this is a crazy party I would love to attend . ,1
  colored contacts in your eyes?blinders on mine.cause i ca n't see you at all . Lmao ,0
  Facts   Only the dudes with hoes say they do n't got hoes ,1
  I 'm rea start smacking bitches period   Bluffin at its best ,1
"  Lifes a bitch , and then you die That s why we get high , cause you neva know when you 're gon na go my sister is perfect ( ",1
"  One of us is on drugs , and its me but you 're still wrong    hahahahahahah i m a bitch sometimes ( ",1
  I 'm feeling pretty fuckin ghetto Smh ,0
      swears I 'm   man easily easily behind Austin nip ? ,0
  This is a true ride or die bitch    what the fuck hahahahah ,1
  H.G.Wells and Charlie Chaplin    ,0
  All I see is Bruno 's bitch ass on my twitter now . wtf Bruno 's all that she sees ( Drake voice ) ,1
   I 'm about to cool faggot chill tf is cool nigga ,1
   I 'm so sure bitch frfr tf ,1
"  Twitter is not a source of news broadcast you fucking retards it is when nbc , abc , cnn , Fox , etc are all keeping quiet . ",1
  Got a couple bitches saying they know me But I let the money talk for me   AND I'M LIKE ... ,1
  Grudges are for weirdosand bitches ,1
  I told Mariam to but cigarettes for her birthdayYou also called me trash rn ,0
   brownies tonight what kind ? ,0
"  No text back ? I do n't give a fuck , I 'll text another bitch damn someone is hurt lol ",1
  Ummmmmm okay   you got hoes from left to right   do yah thang ,1
  using y = mx+b to find the slope of that ass ,1
  Fit lads Nice gear   these scally lads n trainers would get it ,0
  Hell yeah bro   fuck yeah sexy scally lad in hot gear ,1
  Helping out a mate   I love scally play . Fuck yeah ,1
  Lads being Lads   fuck yeah . I love scally lad action . Hot trainers too . ,0
  Next year bitches is gon na be like you got ta promise you wo n't expose me ,1
"   So hot Lick it , bitch   fuck yeah . Eat that trainer u dirty fucker ",1
   Y'all think celebrity pussy different from the locals ?   yeah Meghan goods is ,1
"  I saw an ajumma walk out in the beginning saying , ' Wow , this is so trash that I ca n't even listen to it .. '   lmaoo ",0
  Need these sox   fuck yeah . I love a kinky scally lad w rank sox and sneaks ,1
  I do n't ever expose females like that .. That 's childish .. bitch nigga shiiii ..... ,0
    yasss*trys new things with bestfriend**bitch who do you love * ,1
  Dude remember this wop video ?    OMG WHERE DID YOU FIND THAT ,0
  Thick raw fuck   Damn his man pussy is getting a workout . ,0
  RAWR My sexy French scally . I love him    sexy scally woof woof ,0
  Nothin in life is free .. Some of you bitches need to write that on ya panties ,1
   if one of you bitches want some of my burrito u can catch me at potosino huh ? Haha ,1
  Niggas whole hoes out here cuz Could n't had said it better .. ,0
  Hardcore way to eat Mac and cheese1 . Boil water 2 . Snort cheese powder3 . Drink boiling water 4 . Fuck bitches ,1
   if my fade is perpetually fresher than yours . That 's a real ass bitch rite there ,1
  annoying bitch that I love   JUDYANN 'S SO PRETTY ,1
   bitch got on some huggies ,1
  Hi bitch No bitchBye bitch ,1
  does he look like a bitch ? ,1
  Chase money   not   hoes   ,1
  ca n't stand a I do n't know what I want ass nigga   bitch * ,1
    I 'm on my way   love a   sexy scally fucker . ,1
  These newly gay bitches do n't kno how shit works ,0
  When a bitch do n't want a real job they just become strippers lol lol . ,1
  Awww Meat Meat In His Feelinsi ainn n my feelings bitch ,1
"  I Want Snake Bites , MY Industrial Piercin   A TattooDem hoe accessories dea ",0
  Baby albino    ,0
  these hoes ai n't loyal . ,1
"  YASSSSSS , ORDERED CHINESE   bitch you just ate tacos you fat fuck ",0
  I made that bitch lunch .   Bitches love lunch . ,1
"A NO BRAINERBut as soon as this bitch gets rich in political power , her views will change WHORES ",1
A pussy a day keeps the devil away - ,1
Ai n't that about a bitch ... What does that mean ? ,1
"All these bitches want a baby , I do n't want no children . ",1
And bitch you must be lost ,0
Baby I like being on your left side no bitch you ca n't be there Cuz the street on that side and Twitter said I ai n't real if you do ,1
Bae sounds like such a ghetto word . Use something else ,0
"Batter the wee cunt Jewis y cos he fucked my ex ? Emma is nt battering the girls I 've nailed?Ive moved on , stop being a pussy n do it urself . ",0
Bleed out hoe -Alexa ,1
Boolin ' in the bando wit a few bitches ,1
Brownies for my brownie I love this movie . ,0
But I need a bad bitch that 's hotter than me might be the realist shit PartyNextDoor ever said . That 's how I be feelin everyday ,1
By the way we do punch bitches . ,0
Caesar is home    so much this bitch looks like . Lets start with ape shit ,1
"Chinese Maverick We were communicating Comrade , u know giving the imperialist Yanks the Birdie ",0
Dad say hi to my snapchat Dad   duces bitch ,1
"Do you believe these hoes are not in fact loyal ? I disagree with that , I do believe they are in fact the loyalest bunch , these hoes ",1
Do n't know no ugly bitches Do n't know no broke niggas ,1
Do n't make me make you fall in live with a nigga like meee ... The birds 1 are my favorite songs by Weeknd ,1
"Do n't worry about the nigga you see , worry about the nigga you DON'T see ... Dat 's da nigga fuckin yo bitch . ",0
"Do n't you ever give my pussy away . You keep it tight , alright ? ",1
Dropped a stack cause bitch I 'm ON.- Song called Dope . Download the mixtape here ,1
Dumb bitches do dumb things ,1
Eat the pussy like a real nigga hungry ,0
Eff it . Let 's go after the cripple . ,0
Everything look better with a bitch next to it ,0
Facto   Who cares if you a hoe when your ass looks like this ? ,1
For every bad bitch there is a nigga tired of fucking her ,1
"Foreign chick , no lie .. Man that bitch Beautiful ",1
Fresh nigga so you kno I need a clean bitch ... Who kno I 'm working cuz I wanna see my team rich . ,0
Fuck 50 I make my own rules . Suck my dragon balls bitch call me goku ,1
Generate ASCII boxes with NodeJS all I see is the ability to bring flappy - bird in node via ASCII tubes and bird ^_^ ,0
Get me that shit bitch you is fine bear ,1
Get your ass back to Detroit ya fuckin ' wigger ,0
"Girls that I dated , its okay I ai n't mad yo , unless you stabbed me in the heart , no love hoe ",1
HOW DO YOU KNOW MY TWITTER PASSWORD bitch please ,1
Have you seen my shows ? Have you seen my hoes ? If I was n't hot would they be so thick ? ,1
He a bitch for hitting that hoe ,1
He married to a white woman ... lucky sum - bitch - Uncle Ruckus ,0
"He wanna be my nigga , but I 'm just trinna be his savings account    omg imma funny ass bitch man , but that 's Real Shit ",0
"Her great grandmas a hoe , her grandmas a hoe , her moms and a hoe , and she 's a hoe It 's a long line of hoes -Grandpa Carl everyone ",1
